out_longitude,out_latitude,out_altitude,out_vel_x,out_vel_y,out_vel_z
-0.37028304,-0.78488445,902.09436,8.294722,1.1242619,-0.14464298
-0.37028185,-0.7848844,902.63696,8.680385,2.0095823,-0.25457674
-0.3702805,-0.78488433,903.4913,8.558989,2.5736783,-0.2303337
-0.3702793,-0.78488356,905.6661,8.349069,3.7496896,-0.5439893
-0.37027827,-0.78488356,907.09235,8.494045,3.6839657,-0.4809317
-0.37027708,-0.7848831,909.2003,8.570492,3.8350358,-0.50957626
-0.37027538,-0.7848824,909.6865,8.462448,4.175827,-0.5990974
-0.3702742,-0.7848821,912.6392,8.614183,4.036068,-0.5416212
-0.37027267,-0.78488135,911.4108,8.4565115,4.519409,-0.681626
-0.37027103,-0.78488094,911.9291,8.668471,4.4076486,-0.65873396
-0.3702697,-0.7848806,913.84595,8.448647,4.1864595,-0.5897241
-0.37026843,-0.7848803,914.99097,8.802453,4.318611,-0.56246567
-0.37026718,-0.7848802,918.0745,9.070945,3.5558617,-0.3309363
-0.37026498,-0.7848789,917.30566,8.854422,4.7560883,-0.6426732
-0.37026381,-0.7848788,919.8482,9.140113,4.3166184,-0.5223963
-0.3702626,-0.78487825,921.4987,9.399843,4.541457,-0.600595
-0.3702612,-0.78487766,922.709,9.340449,4.709205,-0.607569
-0.37025973,-0.78487706,924.4856,8.646411,4.575019,-0.5854699
-0.37025836,-0.7848767,924.4636,7.7242384,4.0975847,-0.3718648
-0.37025735,-0.7848762,926.4462,7.0930653,3.8470254,-0.31171465
-0.37025675,-0.784876,927.7023,6.9410543,3.560245,-0.38572788
-0.3702548,-0.78487533,928.01385,6.9073157,3.3598905,-0.33792216
-0.37025398,-0.78487486,931.0071,6.555686,3.8174963,-0.38523397
-0.37025288,-0.7848751,931.068,7.649639,2.677035,-0.117501326
-0.37025112,-0.78487426,930.6182,7.7416143,3.6938133,-0.21615337
-0.37025017,-0.78487414,932.89197,8.2543125,3.2660458,-0.10025961
-0.37024888,-0.78487337,933.5418,8.594143,3.8531818,-0.31090462
-0.37024727,-0.7848727,934.8112,8.264892,3.9883227,-0.30629373
-0.37024614,-0.78487253,936.6323,7.607931,3.3888779,-0.062666155
-0.37024513,-0.784872,936.77277,6.648229,3.2626507,-0.098721676
-0.3702441,-0.7848715,936.9639,4.9504037,3.5397172,0.041336145
-0.37024388,-0.7848709,938.1062,3.925917,4.6903734,-0.037609395
-0.37024328,-0.7848697,938.59955,1.9104198,6.332874,-0.22344802
